name,ticker
BAJAJ AUTO LTD,BAJAJ-AUTO.NS
BAJAJ HOUSING FINANCE LIMITED,BAJAJHLDNG.NS
BHARTI AIRTEL LTD,BHARTIARTL.NS
CIPLA LTD,CIPLA.NS
DR. REDDY'S LABORATORIES LTD,DRREDDY.NS
EXIDE INDUSTRIES LTD,EXIDEIND.NS
FEDERAL BANK LTD,FEDERALBNK.NS
FINOLEX CABLES LTD,FINCABLES.NS
GODREJ CONSUMER PRODUCTS,GODREJCP.NS
HCL TECHNOLOGIES LTD,HCLTECH.NS
HDB FINANCIAL SERVICES LIMITED,HDBFS.NS
ICICI BANK LTD,ICICIBANK.NS
INDUSIND BANK LTD,INDUSINDBK.NS
INFOSYS LTD,INFY.NS
ITC LTD,ITC.NS
NATCO PHARMA LTD,NATCOPHARM.NS
TATA CONSULTANCY SERVICES LTD,TCS.NS
TATA MOTORS LTD,TATAMOTORS.NS
TATA STEEL LTD,TATASTEEL.NS
TECH MAHINDRA LTD,TECHM.NS
ULTRATECH CEMENT LTD,ULTRACEMCO.NS
WIPRO LTD,WIPRO.NS
AMARA RAJA ENERGY AND MOBILITY,ARE&M.NS
ZYDUS LIFESCIENCES,ZYDUSLIFE.NS
MUTHOOT FINANCE,MUTHOOTFIN.NS
MANAPPURAM FINANCE,MANAPPURAM.NS
IDFC FIRST BANK,IDFCFIRSTB.NS
TAMILNAD MERCANTILE BANK,TMB.NS
HERO MOTOCORP,HEROMOTOCO.NS
ITC HOTELS,ITC.NS
KARNATAKA BANK,KTKBANK.NS
KAVERI SEED COMPANY,KSCL.NS
PGINVIT,PGINVIT.NS
SKM EGG PRODUCTS EXPORT (INDIA),SKMEGGPROD.NS
TATA CHEMICALS,TATACHEM.NS
THANGAMAYIL JEWELLERY,THANGAMAYL.NS
TTK PRESTIGE,TTKPRESTIG.NS
SOUTH INDIAN BANK,SOUTHBANK.NS
POLYCAB,POLYCAB.NS
NIPPON INDIA GOLD BEES,GOLDBEES.NS
MOTILAL OSWAL NASDAQ 100 ETF,MON100.NS
SPANDANA SPHOORTY FINANCIAL,SPANDANA.NS